epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8725,1.38248,2.21385,1.27252,1,0.6712,0.96596,0.67234,0.94633,2.31257,1.07133,0.000650794,0.000650794,0.000650794
2,20.4037,1.04324,1.2395,1.03354,0.98226,0.97024,0.99336,0.67,1.11759,1.69755,1.1156,0.00130442,0.00130442,0.00130442
3,29.11,1.00999,1.03719,1.01708,0.85194,0.94048,0.95433,0.61643,1.09717,1.35806,1.08746,0.00194484,0.00194484,0.00194484
4,38.0822,0.97246,0.8918,1.0019,0.96402,0.957,0.98837,0.75724,0.87344,0.78776,1.01134,0.0019406,0.0019406,0.0019406
5,46.4414,0.93616,0.78838,0.9965,0.99612,1,0.995,0.76963,0.85824,0.75439,1.07559,0.0019208,0.0019208,0.0019208
6,55.5187,0.93945,0.74056,0.99288,0.9681,0.9881,0.98997,0.69099,0.96731,0.74398,1.01693,0.001901,0.001901,0.001901
7,63.8433,0.87543,0.65827,0.97682,0.98823,0.99958,0.98861,0.77408,0.82803,0.60794,0.96459,0.0018812,0.0018812,0.0018812
8,71.7739,0.85954,0.60331,0.97047,0.97312,0.99405,0.99283,0.77264,0.78101,0.68928,0.93936,0.0018614,0.0018614,0.0018614
9,80.1289,0.88603,0.5905,0.98572,0.99357,1,0.99435,0.75196,0.79918,0.47743,0.94387,0.0018416,0.0018416,0.0018416
10,88.44,0.80633,0.53599,0.95262,0.99327,1,0.99423,0.78187,0.75148,0.41558,0.9179,0.0018218,0.0018218,0.0018218
11,97.0418,0.82925,0.54163,0.96823,0.94894,0.97619,0.99129,0.78303,0.8232,0.84379,0.99827,0.001802,0.001802,0.001802
12,104.923,0.8344,0.53068,0.96556,0.99945,1,0.995,0.79243,0.76914,0.40649,0.9294,0.0017822,0.0017822,0.0017822
13,113.479,0.83269,0.52216,0.97094,0.99948,1,0.995,0.78676,0.74757,0.45169,0.94923,0.0017624,0.0017624,0.0017624
14,121.246,0.82519,0.49512,0.97275,0.99361,1,0.99435,0.76082,0.78137,0.40168,0.92962,0.0017426,0.0017426,0.0017426
15,129.542,0.80704,0.49101,0.95987,0.9994,0.99405,0.995,0.82324,0.69857,0.41178,0.93138,0.0017228,0.0017228,0.0017228
